date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:04	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Feb%202025%2007:21:16%20GMT	https://ersy.dev/robots.txt		(from )
14:11:04	3265/3265	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Mar%202025%2021:44:26%20GMT	https://ersy.dev/	C:/index23/-/ersy.dev/index.html	(from )
14:11:04	4391/4391	---MCZ	200	added ('OK')	text/css	etag:W/%221127-67d351bb-38e5944e3ba922a0;br%22	https://ersy.dev/styles.css?v=28	C:/index23/-/ersy.dev/styles4cc8.css	(from https://ersy.dev/)
14:11:04	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226373d4a6-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	C:/index23/-/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://ersy.dev/)
14:11:05	9730/9730	---M--	200	added ('OK')	image/jpeg	etag:%222602-67d34ea6-f503a748796371d9;;;%22	https://ersy.dev/profil.jpg	C:/index23/-/ersy.dev/profil.jpg	(from https://ersy.dev/)
14:11:05	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/index23/-/code.jquery.com/jquery-3.6.0.min.js	(from https://ersy.dev/)
14:11:13	4686/4686	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Mar%202025%2011:11:14%20GMT	https://ersy.dev/cdn-cgi/l/email-protection	C:/index23/-/ersy.dev/cdn-cgi/l/email-protection.html	(from https://ersy.dev/)
14:11:13	1241058/1241058	---M--	200	added ('OK')	image/gif	etag:%2212efe2-67d34ea6-52d9fdcfd93bfc5c;;;%22	https://ersy.dev/banner.gif	C:/index23/-/ersy.dev/banner.gif	(from https://ersy.dev/)
14:11:13	39863/39863	---M--	200	added ('OK')	image/jpeg	etag:%229bb7-67d34ea6-9eda6a627dfd9e02;;;%22	https://ersy.dev/spotify.jpg	C:/index23/-/ersy.dev/spotify.jpg	(from https://ersy.dev/)
14:11:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d49e82-4d7%22	https://ersy.dev/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/index23/-/ersy.dev/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://ersy.dev/)
14:11:14	2770/2770	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ad2-67d34ea9-77d69aa5d5b6715e;br%22	https://ersy.dev/js/songapi.js?v=155	C:/index23/-/ersy.dev/js/songapi204b.js	(from https://ersy.dev/)
